"filename", "language", "C#", "XML", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\serialCom.cs", "C#", 189, 0, 0, 0, 65, 46, 300
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\Serial\SerialForm.cs", "C#", 160, 0, 0, 0, 162, 53, 375
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\Serial\SerialForm.designer.cs", "C#", 252, 0, 0, 0, 47, 5, 304
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\Serial\serialCom.cs", "C#", 192, 0, 0, 0, 73, 46, 311
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\UDP\UdpCom.cs", "C#", 151, 0, 0, 0, 52, 25, 228
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\UDP\UdpForm.cs", "C#", 76, 0, 0, 0, 17, 22, 115
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\UDP\UdpForm.designer.cs", "C#", 250, 0, 0, 0, 41, 5, 296
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\串口\serial.cs", "C#", 211, 0, 0, 0, 25, 52, 288
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\串口\serial.designer.cs", "C#", 486, 0, 0, 0, 101, 6, 593
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\2.通道解析\ChannelParise.cs", "C#", 73, 0, 0, 0, 35, 14, 122
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\2.通道解析\DataPrepare.cs", "C#", 50, 0, 0, 0, 40, 14, 104
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\1.滤波器\FilterForm.Designer.cs", "C#", 83, 0, 0, 0, 26, 6, 115
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\1.滤波器\FilterForm.cs", "C#", 20, 0, 0, 0, 0, 5, 25
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\1.滤波器\FirFilter.cs", "C#", 109, 0, 0, 0, 40, 24, 173
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\2.阈值报警\AlarmForm.Designer.cs", "C#", 79, 0, 0, 0, 26, 6, 111
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\2.阈值报警\AlarmForm.cs", "C#", 107, 0, 0, 0, 38, 23, 168
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\2.阈值报警\LimitAlarm.cs", "C#", 66, 0, 0, 0, 15, 13, 94
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\3.统计\Statics7.cs", "C#", 162, 0, 0, 0, 64, 41, 267
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\3.统计\StaticsForm.Designer.cs", "C#", 438, 0, 0, 0, 59, 6, 503
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\3.dataList数据处理\3.统计\StaticsForm.cs", "C#", 40, 0, 0, 0, 9, 15, 64
