Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\ref\netstandard2.0\System.Numerics.Vectors.xml                               | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Runtime.CompilerServices.Unsafe.4.5.2\lib\netcoreapp2.0\System.Runtime.CompilerServices.Unsafe.xml  | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Runtime.CompilerServices.Unsafe.4.5.2\lib\netstandard1.0\System.Runtime.CompilerServices.Unsafe.xml | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Runtime.CompilerServices.Unsafe.4.5.2\lib\netstandard2.0\System.Runtime.CompilerServices.Unsafe.xml | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Runtime.CompilerServices.Unsafe.4.5.2\ref\netstandard1.0\System.Runtime.CompilerServices.Unsafe.xml | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Runtime.CompilerServices.Unsafe.4.5.2\ref\netstandard2.0\System.Runtime.CompilerServices.Unsafe.xml | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\sqlite-net-pcl.1.7.335\lib\netstandard2.0\SQLite-net.xml                                                   | XML      |      2,196 |          0 |          4 |      2,200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Chart.Designer.cs                                                                                     | C#       |         82 |         17 |          8 |        107 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Chart.cs                                                                                              | C#       |         32 |          0 |          6 |         38 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\PredictChart.cs                                                                                       | C#       |        105 |         55 |         20 |        180 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\PredictChart.designer.cs                                                                              | C#       |         58 |         23 |          6 |         87 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Program.cs                                                                                            | C#       |         19 |          4 |          3 |         26 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Properties\AssemblyInfo.cs                                                                            | C#       |         15 |         17 |          5 |         37 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Properties\Resources.Designer.cs                                                                      | C#       |         41 |         22 |          8 |         71 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\Properties\Settings.Designer.cs                                                                       | C#       |         17 |          8 |          5 |         30 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\bin\Debug\OxyPlot.WindowsForms.xml                                                                    | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\bin\Debug\OxyPlot.xml                                                                                 | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\bin\Release\OxyPlot.WindowsForms.xml                                                                  | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\bin\Release\OxyPlot.xml                                                                               | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                          | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                        | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_barChart\test_Chart.csproj                                                                                     | XML      |        103 |          0 |          0 |        103 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Form1.Designer.cs                                                                                          | C#       |         25 |         11 |          6 |         42 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Form1.cs                                                                                                   | C#       |         20 |          0 |          4 |         24 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\IniFileHelper.cs                                                                                           | C#       |         66 |         25 |         12 |        103 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Program.cs                                                                                                 | C#       |         18 |          3 |          2 |         23 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Properties\AssemblyInfo.cs                                                                                 | C#       |         15 |         17 |          5 |         37 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Properties\Resources.Designer.cs                                                                           | C#       |         41 |         22 |          8 |         71 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\Properties\Settings.Designer.cs                                                                            | C#       |         17 |          8 |          5 |         30 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                               | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                             | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_ini\test_ini.csproj                                                                                            | XML      |         81 |          0 |          0 |         81 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Form1.Designer.cs                                                                                      | C#       |         36 |         17 |          8 |         61 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Form1.cs                                                                                               | C#       |        129 |         46 |         31 |        206 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Predict.cs                                                                                             | C#       |        107 |         48 |         21 |        176 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Program.cs                                                                                             | C#       |         18 |          3 |          2 |         23 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Properties\AssemblyInfo.cs                                                                             | C#       |         15 |         17 |          5 |         37 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Properties\Resources.Designer.cs                                                                       | C#       |         33 |         22 |          9 |         64 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\Properties\Settings.Designer.cs                                                                        | C#       |         13 |          8 |          6 |         27 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs                                           | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\obj\Debug\.NETFramework,Version=v4.6.2.AssemblyAttributes.cs                                           | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\obj\Release\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs                                         | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_predict\test_predict.csproj                                                                                    | XML      |         93 |          0 |          0 |         93 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Form1.Designer.cs                                                                                       | C#       |         56 |         23 |          8 |         87 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Form1.cs                                                                                                | C#       |         63 |          9 |         27 |         99 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Form2.Designer.cs                                                                                       | C#       |        119 |         35 |          6 |        160 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Form2.cs                                                                                                | C#       |         72 |          0 |         15 |         87 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Program.cs                                                                                              | C#       |         24 |          4 |          5 |         33 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Properties\AssemblyInfo.cs                                                                              | C#       |         15 |         17 |          5 |         37 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Properties\Resources.Designer.cs                                                                        | C#       |         41 |         22 |          8 |         71 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\Properties\Settings.Designer.cs                                                                         | C#       |         17 |          8 |          5 |         30 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\SQLiteHelper.cs                                                                                         | C#       |        220 |         71 |         23 |        314 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\bin\Debug\SQLite-net.xml                                                                                | XML      |      2,196 |          0 |          4 |      2,200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\bin\Debug\System.Buffers.xml                                                                            | XML      |         39 |          0 |          0 |         39 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\bin\Debug\System.Memory.xml                                                                             | XML      |        353 |          0 |          2 |        355 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\bin\Debug\System.Numerics.Vectors.xml                                                                   | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\bin\Debug\System.Runtime.CompilerServices.Unsafe.xml                                                    | XML      |        200 |          0 |          0 |        200 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                            | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                          | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\test_sqlite.csproj                                                                                      | XML      |        137 |          0 |          0 |        137 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_sqlite\配置\ConfigHelper.cs                                                                                      | C#       |         98 |         27 |         17 |        142 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\Class1.cs                                                                                                  | C#       |         18 |          0 |          3 |         21 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\UdpCom.cs                                                                                                  | C#       |        134 |         55 |         21 |        210 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\bin\Debug\LiteNetLib.xml                                                                                   | XML      |      1,359 |          0 |          1 |      1,360 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                               | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                             | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\test_udp\test_udp.csproj                                                                                            | XML      |         50 |          0 |          0 |         50 |
| Total                                                                                                                                                                                      |          |    425,681 |      4,612 |      2,044 |    432,337 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
