Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\Properties\Settings.Designer.cs                                                                   | C#       |         13 |          8 |          6 |         27 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\Cfg\sensor.ini                                                                          | Ini      |         78 |          0 |          8 |         86 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Data.Desktop.v20.1.xml                                                       | XML      |        831 |          0 |          0 |        831 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Data.v20.1.xml                                                               | XML      |     21,212 |          0 |          0 |     21,212 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Office.v20.1.Core.xml                                                        | XML      |      1,814 |          0 |          0 |      1,814 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Pdf.v20.1.Core.xml                                                           | XML      |      6,973 |          0 |          0 |      6,973 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Pdf.v20.1.Drawing.xml                                                        | XML      |      1,153 |          0 |          0 |      1,153 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Printing.v20.1.Core.xml                                                      | XML      |     26,513 |          0 |          0 |     26,513 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.RichEdit.v20.1.Core.xml                                                      | XML      |     37,803 |          0 |          0 |     37,803 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Sparkline.v20.1.Core.xml                                                     | XML      |        499 |          0 |          0 |        499 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Utils.v20.1.xml                                                              | XML      |     17,859 |          0 |          0 |     17,859 |
