"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ModBusGuideView.xaml", "XML", 150, 0, 0, 0, 3, 28, 181
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ModBusGuideView.xaml.cs", "C#", 0, 27, 0, 0, 3, 3, 33
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ModbusReadSetView.xaml", "XML", 62, 0, 0, 0, 0, 12, 74
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ModbusReadSetView.xaml.cs", "C#", 0, 27, 0, 0, 3, 3, 33
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\NewProjectView.xaml", "XML", 62, 0, 0, 0, 0, 12, 74
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\NewProjectView.xaml.cs", "C#", 0, 24, 0, 0, 3, 2, 29
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\NodeConfigView.xaml", "XML", 72, 0, 0, 0, 0, 7, 79
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\NodeConfigView.xaml.cs", "C#", 0, 23, 0, 0, 3, 2, 28
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\PluginView.xaml", "XML", 35, 0, 0, 0, 1, 1, 37
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\PluginView.xaml.cs", "C#", 0, 33, 0, 0, 22, 7, 62
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\PrjItem.xaml", "XML", 37, 0, 0, 0, 2, 5, 44
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\PrjItem.xaml.cs", "C#", 0, 63, 0, 0, 12, 9, 84
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ProjectManagView.xaml", "XML", 102, 0, 0, 0, 5, 19, 126
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\ProjectManagView.xaml.cs", "C#", 0, 27, 0, 0, 3, 2, 32
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\SelectTaskView.xaml", "XML", 74, 0, 0, 0, 0, 7, 81
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\SelectTaskView.xaml.cs", "C#", 0, 29, 0, 0, 4, 5, 38
